,Party,Donee,value
88,The Rt Hon Matthew Hancock MP,Regulated Donee,1000.0
89,The Rt Hon Matthew Hancock MP,Regulated Donee,4990.0
90,The Rt Hon Matthew Hancock MP,Regulated Donee,1000.0
91,The Rt Hon Matthew Hancock MP,Regulated Donee,5000.0
92,The Rt Hon Matthew Hancock MP,Regulated Donee,5000.0
93,The Rt Hon Matthew Hancock MP,Regulated Donee,10000.0
94,The Rt Hon Matthew Hancock MP,Regulated Donee,10000.0
95,The Rt Hon Matthew Hancock MP,Regulated Donee,10000.0
96,The Rt Hon Matthew Hancock MP,Regulated Donee,5000.0
97,Nigel Adams MP,Regulated Donee,5000.0
98,Jess Phillips MP,Regulated Donee,20000.0
99,Mr Boris Johnson MP,Regulated Donee,2000.0
100,Plaid Cymru - The Party of Wales,Political Party,43784.46
101,Mr Boris Johnson MP,Regulated Donee,2000.0
102,Mr Boris Johnson MP,Regulated Donee,10000.0
103,Nigel Adams MP,Regulated Donee,1600.0
104,Peter Gibson,Regulated Donee,2000.0
105,Mr Robert Largan,Regulated Donee,2000.0
106,Siobhan Baillie,Regulated Donee,2000.0
107,Mr Jack Rankin,Regulated Donee,2000.0
108,Matthew Vickers,Regulated Donee,2000.0
109,Miriam Cates,Regulated Donee,2000.0
110,Mr Mario Creatura,Regulated Donee,2000.0
111,Laura Evans,Regulated Donee,2000.0
112,Mr Tom Hunt,Regulated Donee,2000.0
113,Mr Boris Johnson MP,Regulated Donee,5000.0
114,The Rt Hon Edward Miliband MP,Regulated Donee,2000.0
115,Nigel Adams MP,Regulated Donee,1825.0
116,Mr Clive Lewis MP,Regulated Donee,12000.0
117,The Spring Lunch,Regulated Donee,15000.0
118,Tom Watson MP,Regulated Donee,3750.0
119,Mr Boris Johnson MP,Regulated Donee,10000.0
120,Mr Boris Johnson MP,Regulated Donee,30000.0
121,Nigel Adams MP,Regulated Donee,13800.0
122,The Brexit Party,Political Party,10000.0
123,Nigel Adams MP,Regulated Donee,11900.0
124,Gavin Williamson,Regulated Donee,20000.0
125,Kate Green MP,Regulated Donee,12000.0
126,Alison McGovern MP,Regulated Donee,1750.0
127,Mr Richard Harrington MP,Regulated Donee,12000.0
128,Tom Watson MP,Regulated Donee,5000.0
129,Mr Richard Harrington MP,Regulated Donee,10000.0
130,Mr Stephen Doughty,Regulated Donee,1750.0
131,The Rt Hon Jeremy Hunt MP,Regulated Donee,3761.19
132,Conservative and Unionist Party,Political Party,12000.0
133,Steve Double MP,Regulated Donee,9375.0
134,Kieran Mullan,Regulated Donee,5000.0
135,Liberal Democrats,Political Party,2300.0
136,Liberal Democrats,Political Party,5000.0
137,Liberal Democrats,Political Party,10000.0
138,Liberal Democrats,Political Party,2810.0
139,Liberal Democrats,Political Party,2765.95
140,Liberal Democrats,Political Party,25000.0
141,Liberal Democrats,Political Party,11000.0
142,Liberal Democrats,Political Party,2000.0
143,Liberal Democrats,Political Party,3000.0
144,Labour Party,Political Party,2000.0
145,Labour Party,Political Party,2700.0
146,Democratic Unionist Party - D.U.P.,Political Party,10971.65
147,Liberal Democrats,Political Party,1805.62
148,Liberal Democrats,Political Party,9985.0
149,Liberal Democrats,Political Party,5875.0
150,Liberal Democrats,Political Party,1950.0
151,Liberal Democrats,Political Party,2100.0
152,Liberal Democrats,Political Party,10811.58
153,Liberal Democrats,Political Party,3000.0
154,Liberal Democrats,Political Party,2950.0
155,The Independent Group for Change,Political Party,4167.0
156,Labour Party,Political Party,3275.36
157,Liberal Democrats,Political Party,2250.0
158,Liberal Democrats,Political Party,15525.18
159,Liberal Democrats,Political Party,2899.0
160,Liberal Democrats,Political Party,8000.0
161,Liberal Democrats,Political Party,2674.68
162,Liberal Democrats,Political Party,2400.0
163,Liberal Democrats,Political Party,4500.0
164,Liberal Democrats,Political Party,5000.0
165,Liberal Democrats,Political Party,2000.0
166,Liberal Democrats,Political Party,5700.0
167,Liberal Democrats,Political Party,2648.09
168,Liberal Democrats,Political Party,8400.0
169,Liberal Democrats,Political Party,8000.0
170,Liberal Democrats,Political Party,7086.0
171,Liberal Democrats,Political Party,5000.0
172,Liberal Democrats,Political Party,2494.0
173,Liberal Democrats,Political Party,1800.0
174,Liberal Democrats,Political Party,3600.0
175,Liberal Democrats,Political Party,2758.26
176,Liberal Democrats,Political Party,1800.0
177,Labour Party,Political Party,4529.99
178,Democratic Unionist Party - D.U.P.,Political Party,2153.33
179,Liberal Democrats,Political Party,5000.0
180,Liberal Democrats,Political Party,2500.0
181,Liberal Democrats,Political Party,3100.0
182,Liberal Democrats,Political Party,3000.0
183,Liberal Democrats,Political Party,1850.0
184,Liberal Democrats,Political Party,2700.0
185,Liberal Democrats,Political Party,2000.0
186,Liberal Democrats,Political Party,3000.0
187,Liberal Democrats,Political Party,10000.0
188,Liberal Democrats,Political Party,3100.0
189,Conservative and Unionist Party,Political Party,12500.0
190,Conservative and Unionist Party,Political Party,50000.0
191,Liberal Democrats,Political Party,1965.0
192,Conservative and Unionist Party,Political Party,3556.25
193,Conservative and Unionist Party,Political Party,5000.0
194,Mr Andy Street,Regulated Donee,2935.34
195,Conservative and Unionist Party,Political Party,10000.0
196,Labour Party,Political Party,3000.0
197,UK Independence Party (UKIP),Political Party,14264.93
198,Conservative and Unionist Party,Political Party,10000.0
199,Sinn Féin,Political Party,14112.11
200,Mr Andy Street,Regulated Donee,6011.69
201,Ulster Unionist Party,Political Party,1581.33
202,Conservative and Unionist Party,Political Party,50000.0
203,Conservative and Unionist Party,Political Party,5000.0
204,Conservative and Unionist Party,Political Party,10000.0
205,The Rt Hon Liam Byrne MP,Regulated Donee,3500.0
206,Conservative and Unionist Party,Political Party,8400.0
207,Conservative and Unionist Party,Political Party,2500.0
208,Liberal Democrats,Political Party,5000.0
209,Ulster Unionist Party,Political Party,6272.46
210,Conservative and Unionist Party,Political Party,375000.0
211,Labour Party,Political Party,2304.99
212,Liberal Democrats,Political Party,2900.0
213,Mr Brandon Lewis MP,Regulated Donee,10000.0
214,Graham Brady MP,Regulated Donee,10459.0
215,Liberal Democrats,Political Party,27500.0
216,Kwasi Kwarteng MP,Regulated Donee,3344.0
217,Labour Party,Political Party,36291.66
218,Kwasi Kwarteng MP,Regulated Donee,1914.0
219,The Rt Hon Michael Fallon MP,Regulated Donee,6217.99
220,Liberal Democrats,Political Party,2000.0
221,Liberal Democrats,Political Party,1520.5
222,Mr Sam Gyimah,Regulated Donee,4000.0
223,Conservative and Unionist Party,Political Party,3000.0
224,Conservative and Unionist Party,Political Party,5000.0
225,Conservative and Unionist Party,Political Party,200000.0
226,Sinn Féin,Political Party,10818.63
227,Conservative and Unionist Party,Political Party,3289.93
228,Conservative and Unionist Party,Political Party,2082.71
229,Traditional Unionist Voice - TUV,Political Party,2295.18
230,Simon Hart MP,Regulated Donee,3000.0
231,Conservative and Unionist Party,Political Party,5000.0
232,Conservative and Unionist Party,Political Party,4000.0
233,Mr Brandon Lewis MP,Regulated Donee,5000.0
234,Conservative and Unionist Party,Political Party,3557.24
235,SDLP (Social Democratic & Labour Party),Political Party,8533.92
236,Sinn Féin,Political Party,3646.58
237,Labour Party,Political Party,3600.0
238,Green Party,Political Party,3851.17
239,Alliance - Alliance Party of Northern Ireland,Political Party,5272.97
240,Mr Andy Street,Regulated Donee,6500.0
241,Labour Party,Political Party,2000.0
242,Mr Boris Johnson MP,Regulated Donee,5000.0
243,Mr Boris Johnson MP,Regulated Donee,10000.0
244,Conservative and Unionist Party,Political Party,14417.0
245,The Rt Hon Sajid Javid MP,Regulated Donee,15000.0
246,Labour Party,Political Party,2000.0
247,Renew,Political Party,10000.0
248,Hatch Connect UK Ltd,Regulated Donee,10000.0
249,Labour Party,Political Party,2000.0
250,Liberal Democrats,Political Party,15000.0
251,Labour Party,Political Party,2000.0
252,Labour Party,Political Party,10000.0
253,Labour Party,Political Party,1975.0
254,Labour Party,Political Party,2000.0
255,Democratic Unionist Party - D.U.P.,Political Party,56713.69
256,Mr John Mann MP,Regulated Donee,2058.0
257,Liberal Democrats,Political Party,5000.0
258,Liberal Democrats,Political Party,1600.0
259,The Rt Hon Yvette Cooper MP,Regulated Donee,15847.0
260,Liberal Democrats,Political Party,1800.0
261,Conservative and Unionist Party,Political Party,15000.0
262,Conservative and Unionist Party,Political Party,45000.0
263,Labour Party,Political Party,657419.09
264,Liberal Democrats,Political Party,15250.0
265,Conservative and Unionist Party,Political Party,9000.0
266,Plaid Cymru - The Party of Wales,Political Party,8483.67
267,Conservative and Unionist Party,Political Party,3000.0
268,Conservative and Unionist Party,Political Party,2068.0
269,Conservative and Unionist Party,Political Party,5000.0
270,Conservative and Unionist Party,Political Party,2500.0
271,Conservative and Unionist Party,Political Party,742.5
272,Mr Boris Johnson MP,Regulated Donee,10000.0
273,Conservative and Unionist Party,Political Party,10000.0
274,Heidi Allen,Regulated Donee,5000.0
275,Conservative and Unionist Party,Political Party,10000.0
276,Conservative and Unionist Party,Political Party,25000.0
277,Conservative and Unionist Party,Political Party,20000.0
278,Democratic Unionist Party - D.U.P.,Political Party,19425.2
279,Liberal Democrats,Political Party,25061.12
280,Mr Toby Perkins,Regulated Donee,3000.0
281,Liberal Democrats,Political Party,2000.0
282,Rachel Reeves MP,Regulated Donee,3500.0
283,Liberal Democrats,Political Party,53661.33
284,Steve Reed MP,Regulated Donee,3000.0
285,Scottish Green Party,Political Party,1350.91
286,Jack Lopresti MP,Regulated Donee,3000.0
287,Labour Party,Political Party,2000.0
288,The Rt Hon Edward Miliband MP,Regulated Donee,1900.0
289,Liberal Democrats,Political Party,10000.0
290,Liberal Democrats,Political Party,25000.0
291,Mr Boris Johnson MP,Regulated Donee,10000.0
292,Liberal Democrats,Political Party,10000.0
293,Mr Boris Johnson MP,Regulated Donee,5000.0
294,The Rt Hon Sajid Javid MP,Regulated Donee,10000.0
295,The Rt Hon Sajid Javid MP,Regulated Donee,10000.0
296,Mr Michael Gove MP,Regulated Donee,10000.0
297,Labour Party,Political Party,2000.0
298,Liberal Democrats,Political Party,5000.0
299,Mr Andy Street,Regulated Donee,4529.49
300,Mr Brandon Lewis MP,Regulated Donee,20000.0
301,Mr Rory Stewart MP,Regulated Donee,2000.0
302,Blue Collar Conservatism Ltd,Regulated Donee,3000.0
303,Mr Rory Stewart MP,Regulated Donee,10000.0
304,Tom Tugendhat,Regulated Donee,12000.0
305,Conservative and Unionist Party,Political Party,9750.0
306,Mr Boris Johnson MP,Regulated Donee,5000.0
307,Mr Michael Gove MP,Regulated Donee,10000.0
308,The Rt Hon Liam Byrne MP,Regulated Donee,5083.2
309,Liberal Democrats,Political Party,2000.0
310,Liberal Democrats,Political Party,10000.0
311,Liberal Democrats,Political Party,10000.0
312,The Rt Hon Jeremy Hunt MP,Regulated Donee,10000.0
313,The Rt Hon Jeremy Hunt MP,Regulated Donee,2000.0
314,The Rt Hon Jeremy Hunt MP,Regulated Donee,5000.0
315,The Rt Hon Jeremy Hunt MP,Regulated Donee,10000.0
316,Liberal Democrats,Political Party,10000.0
317,The Rt Hon Jeremy Hunt MP,Regulated Donee,5000.0
318,Labour Party,Political Party,4500.0
319,The Rt Hon Jeremy Hunt MP,Regulated Donee,20000.0
320,The Rt Hon Jeremy Hunt MP,Regulated Donee,20000.0
321,The Rt Hon Jeremy Hunt MP,Regulated Donee,10000.0
322,Conservative and Unionist Party,Political Party,10000.0
323,Liberal Democrats,Political Party,2000.0
324,The Rt Hon Sajid Javid MP,Regulated Donee,50000.0
325,Ms Luciana Berger MP,Regulated Donee,10000.0
326,Mr Boris Johnson MP,Regulated Donee,8000.0
327,Conservative and Unionist Party,Political Party,10000.0
328,Conservative and Unionist Party,Political Party,2358.48
329,Conservative and Unionist Party,Political Party,25000.0
330,Conservative and Unionist Party,Political Party,6000.0
331,Mr Andy Street,Regulated Donee,10229.1
332,The Rt Hon Sajid Javid MP,Regulated Donee,40000.0
333,Mr Boris Johnson MP,Regulated Donee,20000.0
334,Mr Rory Stewart MP,Regulated Donee,2500.0
335,The Rt Hon Esther McVey,Regulated Donee,1550.0
336,The Rt Hon Sajid Javid MP,Regulated Donee,20000.0
337,Liberal Democrats,Political Party,5000.0
338,Conservative and Unionist Party,Political Party,12500.0
339,Mr Rory Stewart MP,Regulated Donee,2500.0
340,Mr Brandon Lewis MP,Regulated Donee,5000.0
341,Liberal Democrats,Political Party,2000.0
342,Liberal Democrats,Political Party,25000.0
343,Conservative and Unionist Party,Political Party,150000.0
344,The Rt Hon Sajid Javid MP,Regulated Donee,40000.0
345,Liberal Democrats,Political Party,6000.0
346,Conservative and Unionist Party,Political Party,22475.0
347,Mr Boris Johnson MP,Regulated Donee,2000.0
348,Mr Michael Gove MP,Regulated Donee,5000.0
349,Mr Rory Stewart MP,Regulated Donee,10000.0
350,Conservative and Unionist Party,Political Party,2358.48
351,James Cleverly MP,Regulated Donee,5000.0
352,Mr Alun Cairns MP,Regulated Donee,5000.0
353,Liberal Democrats,Political Party,15000.0
354,Conservative and Unionist Party,Political Party,5000.0
355,Conservative and Unionist Party,Political Party,12500.0
356,Conservative and Unionist Party,Political Party,2500.0
357,Conservative and Unionist Party,Political Party,10000.0
358,Mr Boris Johnson MP,Regulated Donee,100000.0
359,Conservative and Unionist Party,Political Party,12500.0
360,Conservative and Unionist Party,Political Party,2500.0
361,Mr Boris Johnson MP,Regulated Donee,5000.0
362,Conservative and Unionist Party,Political Party,2100.0
363,Mr Boris Johnson MP,Regulated Donee,5000.0
364,Mr Rory Stewart MP,Regulated Donee,5000.0
365,Liberal Democrats,Political Party,10000.0
366,Labour Party,Political Party,3000.0
367,Mr Boris Johnson MP,Regulated Donee,10000.0
368,Labour Party,Political Party,3000.0
369,Labour Party,Political Party,3000.0
370,Liberal Democrats,Political Party,5000.0
371,Liberal Democrats,Political Party,2100.0
372,Liberal Democrats,Political Party,10000.0
373,Conservative and Unionist Party,Political Party,5000.0
374,Conservative and Unionist Party,Political Party,2000.0
375,Mr Boris Johnson MP,Regulated Donee,10000.0
376,Conservative and Unionist Party,Political Party,5000.0
377,Brexit Express (BE),Political Party,5551.2
378,The Brexit Party,Political Party,10000.0
379,Labour Party,Political Party,2040.0
380,Mr Michael Gove MP,Regulated Donee,10000.0
381,Mr Boris Johnson MP,Regulated Donee,10000.0
382,The Brexit Party,Political Party,50000.0
383,Labour Party,Political Party,3500.0
384,Co-operative Party,Political Party,31200.0
385,Liberal Democrats,Political Party,2375.12
386,Co-operative Party,Political Party,2000.0
387,The Rt Hon Christopher Grayling MP,Regulated Donee,9000.0
388,Green Party,Political Party,9346.49
389,Conservative and Unionist Party,Political Party,200000.0
390,Labour Party,Political Party,398875.0
391,Labour Party,Political Party,14029.57
392,Labour Party,Political Party,8333.33
393,Conservative and Unionist Party,Political Party,12500.0
394,Conservative and Unionist Party,Political Party,3134.78
395,The Rt Hon Matthew Hancock MP,Regulated Donee,5000.0
396,The Rt Hon Matthew Hancock MP,Regulated Donee,7500.0
397,The Rt Hon Matthew Hancock MP,Regulated Donee,10000.0
398,Mr Dominic Raab MP,Regulated Donee,10000.0
399,Mr Boris Johnson MP,Regulated Donee,10000.0
400,The Brexit Party,Political Party,50000.0
401,Simon Clarke,Regulated Donee,5000.0
402,The Rt Hon Matthew Hancock MP,Regulated Donee,5000.0
403,The Rt Hon Matthew Hancock MP,Regulated Donee,10000.0
404,The Rt Hon Matthew Hancock MP,Regulated Donee,5000.0
405,Mr Rory Stewart MP,Regulated Donee,5000.0
406,Conservative and Unionist Party,Political Party,1975.0
407,Conservative and Unionist Party,Political Party,2500.0
408,Co-operative Party,Political Party,34000.0
409,Labour Party,Political Party,165915.87
410,Conservative and Unionist Party,Political Party,4000.0
411,Conservative and Unionist Party,Political Party,3960.0
412,Liberal Democrats,Political Party,2810.0
413,The Rt Hon Matthew Hancock MP,Regulated Donee,8000.0
414,The Rt Hon Matthew Hancock MP,Regulated Donee,10000.0
415,Liberal Democrats,Political Party,20000.0
416,Liberal Democrats,Political Party,30000.0
417,Liberal Democrats,Political Party,10000.0
418,Liberal Democrats,Political Party,2000.0
419,Labour Party,Political Party,6248.59
420,The Rt Hon Matthew Hancock MP,Regulated Donee,10000.0
421,Mr Jonathan Djanogly MP,Regulated Donee,5890.69
422,Labour Party,Political Party,5000.0
423,Mr Rory Stewart MP,Regulated Donee,1501.0
424,Liberal Democrats,Political Party,10000.0
425,Liberal Democrats,Political Party,40000.0
426,Liberal Democrats,Political Party,5000.0
427,Labour Party,Political Party,3000.0
428,The Rt Hon Matthew Hancock MP,Regulated Donee,10000.0
429,Labour Party,Political Party,152941.55
430,Mr Michael Gove MP,Regulated Donee,10000.0
431,The Rt Hon Matthew Hancock MP,Regulated Donee,25000.0
432,Conservative and Unionist Party,Political Party,7500.0
433,The Rt Hon Matthew Hancock MP,Regulated Donee,10000.0
434,The Rt Hon Matthew Hancock MP,Regulated Donee,5000.0
435,Ms Luciana Berger MP,Regulated Donee,10000.0
436,The Rt Hon Matthew Hancock MP,Regulated Donee,10000.0
437,The Rt Hon Matthew Hancock MP,Regulated Donee,25000.0
438,Mr Michael Gove MP,Regulated Donee,25000.0
439,Conservative and Unionist Party,Political Party,15000.0
440,Conservative and Unionist Party,Political Party,2200.0
441,Conservative and Unionist Party,Political Party,20000.0
442,Mr Dominic Raab MP,Regulated Donee,5000.0
443,Mr Boris Johnson MP,Regulated Donee,7500.0
444,Liberal Democrats,Political Party,10000.0
445,Liberal Democrats,Political Party,5000.0
446,Liberal Democrats,Political Party,10000.0
447,Liberal Democrats,Political Party,5000.0
448,Conservative and Unionist Party,Political Party,5000.0
449,Conservative and Unionist Party,Political Party,50000.0
450,Liberal Democrats,Political Party,4794.6
451,Mr Mark Harper MP,Regulated Donee,2500.0
452,Mr Dominic Raab MP,Regulated Donee,15000.0
453,Mr Boris Johnson MP,Regulated Donee,30000.0
454,Conservative and Unionist Party,Political Party,50000.0
455,Mr Sam Gyimah,Regulated Donee,2500.0
456,Conservative and Unionist Party,Political Party,50000.0
457,Conservative and Unionist Party,Political Party,3406.5
458,Mr Rory Stewart MP,Regulated Donee,5000.0
459,Mr Boris Johnson MP,Regulated Donee,50000.0
460,Mr Sam Gyimah,Regulated Donee,6500.0
461,Liberal Democrats,Political Party,4800.0
462,Liberal Democrats,Political Party,2500.0
463,Liberal Democrats,Political Party,5000.0
464,Mr Michael Gove MP,Regulated Donee,5000.0
465,Liberal Democrats,Political Party,67000.0
466,Conservative and Unionist Party,Political Party,2575.0
467,Mr Boris Johnson MP,Regulated Donee,20000.0
468,Labour Party,Political Party,2250.0
469,Conservative and Unionist Party,Political Party,25000.0
470,The Rt Hon David Lammy MP,Regulated Donee,8724.9
471,Mr Boris Johnson MP,Regulated Donee,5000.0
472,Conservative and Unionist Party,Political Party,24000.0
473,Mr Boris Johnson MP,Regulated Donee,5000.0
474,Conservative and Unionist Party,Political Party,35000.0
475,Conservative and Unionist Party,Political Party,50000.0
476,Co-operative Party,Political Party,7500.0
477,Green Party,Political Party,1500.0
478,Tom Tugendhat,Regulated Donee,20000.0
479,Green Party,Political Party,5000.0
480,Labour Party,Political Party,2500.0
481,Mr Michael Gove MP,Regulated Donee,20000.0
482,Mr Michael Gove MP,Regulated Donee,10000.0
483,Mr Rory Stewart MP,Regulated Donee,5000.0
484,Mr Michael Gove MP,Regulated Donee,10000.0
485,Mr Michael Gove MP,Regulated Donee,10000.0
486,Conservative and Unionist Party,Political Party,84000.0
487,Right to Vote,Regulated Donee,10000.0
488,Mr Boris Johnson MP,Regulated Donee,8000.0
489,Communist Party of Britain,Political Party,6457.59
490,Mr Michael Gove MP,Regulated Donee,10000.0
491,Conservative and Unionist Party,Political Party,2000.0
492,Mr Michael Gove MP,Regulated Donee,10000.0
493,Mr Michael Gove MP,Regulated Donee,10000.0
494,Mr Michael Gove MP,Regulated Donee,20000.0
495,Labour Party,Political Party,2750.0
496,Green Party,Political Party,600.0
497,Mr Andy Street,Regulated Donee,2700.0
498,Conservative and Unionist Party,Political Party,1800.53
499,Mr Michael Gove MP,Regulated Donee,10000.0
500,Mr Boris Johnson MP,Regulated Donee,25000.0
501,Mr Boris Johnson MP,Regulated Donee,10000.0
502,Mr Michael Gove MP,Regulated Donee,10000.0
503,Labour Party,Political Party,1560.0
504,Mr John Mann MP,Regulated Donee,3528.0
505,Liberal Democrats,Political Party,25000.0
506,Liberal Democrats,Political Party,10000.0
507,Liberal Democrats,Political Party,4000.0
508,Mr Virendra Kumar Sharma MP,Regulated Donee,1880.0
509,Conservative and Unionist Party,Political Party,8332.0
510,Mr Barry Gardiner MP,Regulated Donee,7920.0
511,Labour Party,Political Party,2321.73
512,Green Party,Political Party,1800.0
513,Liberal Democrats,Political Party,12144.0
514,Communist Party of Britain,Political Party,5000.0
515,Alison McGovern MP,Regulated Donee,2125.0
516,Mr Stephen Doughty,Regulated Donee,2125.0
517,Tom Watson MP,Regulated Donee,36000.0
518,Labour Party,Political Party,50000.0
519,Liberal Democrats,Political Party,4000.0
520,Conservative and Unionist Party,Political Party,25000.0
521,Mr Rory Stewart MP,Regulated Donee,2000.0
522,Conservative and Unionist Party,Political Party,25000.0
523,Conservative and Unionist Party,Political Party,3000.0
524,Democratic Unionist Party - D.U.P.,Political Party,10971.65
525,Mr Andy Street,Regulated Donee,2500.0
526,Conservative and Unionist Party,Political Party,43200.0
527,Conservative and Unionist Party,Political Party,12500.0
528,Conservative and Unionist Party,Political Party,25000.0
529,Labour Party,Political Party,22401.66
530,Mr Ian Austin MP,Regulated Donee,2000.0
531,Conservative and Unionist Party,Political Party,15000.0
532,Conservative and Unionist Party,Political Party,25000.0
533,Joan Ryan MP,Regulated Donee,2000.0
534,Labour Party,Political Party,5000.0
535,Labour Party,Political Party,291575.0
536,Green Party,Political Party,35000.0
537,Mr Andy Street,Regulated Donee,5650.61
538,Conservative and Unionist Party,Political Party,14500.0
539,Democratic Unionist Party - D.U.P.,Political Party,1465.53
540,Mr Dominic Raab MP,Regulated Donee,5000.0
541,Conservative and Unionist Party,Political Party,2471.0
542,Liberal Democrats,Political Party,25000.0
543,The Rt Hon Jeremy Hunt MP,Regulated Donee,10000.0
544,The Rt Hon Jeremy Hunt MP,Regulated Donee,5000.0
545,The Rt Hon Jeremy Hunt MP,Regulated Donee,10000.0
546,Mr Rory Stewart MP,Regulated Donee,2500.0
547,Tom Tugendhat,Regulated Donee,1560.0
548,James Cleverly MP,Regulated Donee,2000.0
549,Mr Sam Gyimah,Regulated Donee,2064.0
550,The Independent Group for Change,Political Party,125620.0
551,The Rt Hon Jeremy Hunt MP,Regulated Donee,10000.0
552,Liberal Democrats,Political Party,12500.0
553,Liberal Democrats,Political Party,1540.0
554,The Independent Group for Change,Political Party,8333.0
555,Mr Rory Stewart MP,Regulated Donee,2500.0
556,The Rt Hon Jeremy Hunt MP,Regulated Donee,10000.0
557,Women's Equality Party,Political Party,10000.0
